"audit_id","ui_tab","ui_section","displayed_field","field_class","source_authority","current_explanation","current_formula","google_sheets_formula_template","required_inputs","units","date_scope","rounding_rule","validation_tolerance","missing_data_behavior","methodology_assessment","severity","approved_target_methodology","implementation_source","validation_status","notes"
"LEDGER-007","Overview; Compare","External flows","Opening-position contribution","calculated-classification","Canonical transaction ledger","Contributed opening assets are removed from gain and TWR.","OpeningAssetFlow = opening quantity*opening price","'=SUMPRODUCT((Transactions!D:D=""Opening Position"")*Transactions!F:F*Transactions!G:G)","Opening quantity; price","USD","Opening transaction date","Raw","$0.01","Missing quantity or price prevents the flow calculation.","Correct.","Critical","Retain.","chat_alpaca/reconstruction.py:_opening_asset_flow","Requires reconciliation",""
"LEDGER-008","Overview; Compare","External flows","Awards","calculated-classification","Canonical transaction ledger","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable.","AwardExternalFlow = cash_delta + quantity * explicitly recorded fair value","'=SUMIFS(Transactions!J:J,Transactions!D:D,""Award"",Transactions!B:B,AsOfDate)","Award cash_delta; date","USD","Relevant performance period","Raw","$0.01","No awards equals zero.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Treat every award as an external contribution and exclude it from gain, total return, and TWR.","chat_alpaca/reconstruction.py; chat_alpaca/analytics.py","Implemented and tested","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable."
"VALUE-001","Overview; Forecast; Hypothetical","Valuation","Confirmed holding market value","calculated","Ledger plus confirmed market data","Values shares using split-adjusted, non-dividend-adjusted confirmed closes.","HoldingValue_s,t = Shares_s,t*Close_s,t","'=SharesCell*INDEX(FILTER(Prices!C:C,Prices!A:A=Symbol,Prices!B:B<=AsOfDate),ROWS(FILTER(Prices!C:C,Prices!A:A=Symbol,Prices!B:B<=AsOfDate)))","Shares; symbol; confirmed close","USD","Common confirmed valuation date","Raw; UI usually $0","$0.01 raw; $0.50 displayed","Missing required price makes valuation incomplete.","Correct adjustment prevents dividend double counting.","Critical","Retain.","chat_alpaca/analytics.py:portfolio_valuation","Requires reconciliation",""
"VALUE-002","Overview","Valuation","Common valuation date","calculated","Confirmed market data","Uses the oldest latest-date among all held symbols so the total does not mix closing dates.","CommonDate = MIN(latest confirmed date for each active symbol)","'=MIN(MAP(ActiveSymbols,LAMBDA(s,MAX(FILTER(Prices!B:B,Prices!A:A=s,Prices!B:B<=AsOfDate)))))","Held symbols; price dates","Date","At or before requested end","Date","Exact date","Any completely missing symbol makes common date unavailable.","Strong conservative choice.","Critical","Retain and disclose stale symbols.","chat_alpaca/analytics.py:portfolio_valuation","Requires reconciliation",""
"VALUE-003","Overview","Portfolio value and gain/loss","Selected Totals","calculated","Ledger plus confirmed market data","Adds selected cash and complete holding values.","TotalValue = SUM_p(Cash_p + SUM_s HoldingValue_p,s)","'=SUM(SelectedPortfolioCash)+SUM(SelectedHoldingValues)","Selected portfolio cash; holding values","USD","Confirmed common date or indicative quote time","$0 display","$0.01 raw; $0.50 display","Any incomplete selected portfolio returns unavailable.","Strong complete-or-unavailable rule.","Critical","Retain.","chat_alpaca/reports.py:assemble_combined_performance_report","Requires reconciliation",""
"VALUE-004","Overview; Forecast","Valuation fallback","Cost basis plus cash","calculated-fallback","Ledger FIFO lots","When prices are wholly unavailable, adds current remaining-lot basis and cash.","Fallback = Cash + SUM(CurrentLotShares*UnitBasis)","'=CashCell+SUMPRODUCT(OpenLots!Shares,OpenLots!UnitBasis)","Cash; remaining lots; unit basis","USD","Current ledger state","$0 display","$0.01 raw; $0.50 display","Shown only under disclosed price failure.","Valid planning fallback, not economic value.","High","Retain explicit label; never present as market value.","chat_alpaca/portfolio_service.py:portfolio_cost","Requires reconciliation",""
"PERF-001","Overview","Portfolio value and gain/loss","Daily gain/loss","calculated","Ledger reconstruction","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable.","DailyGain_t = Value_t-Value_(t-1)-ExternalFlow_t","'=CurrentValue-PriorValue-ExternalFlow","Two consecutive complete values; external flows","USD","Latest completed sessions or live mark versus prior close","$0 display","$0.01 raw; $0.50 display","Unavailable when complete consecutive values do not exist.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Awards must be included in external flow.","chat_alpaca/reconstruction.py:_daily_for_portfolio","Implemented and tested","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable."
"PERF-002","Overview","Portfolio value and gain/loss","All-time gain/loss","calculated","Ledger reconstruction","Confirmed all-time performance runs from inception through the latest complete confirmed valuation date, independent of Custom Start/End; any live overlay is separately labeled indicative with timestamp and provenance.","ConfirmedAllTime = SUM(DailyGain from inception through latest complete confirmed valuation date)","'=SUMIFS(DailyPerformance!Gain:Gain,DailyPerformance!Date:Date,""<=""&TODAY())","Inception ledger; all required closes through today; today quote overlay policy","USD","Inception through today","$0 display","$0.01 raw; $0.50 display","Unavailable if complete reconstruction cannot be produced.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Always end today regardless of Custom End. Use confirmed close plus permitted indicative overlay under existing freshness rules.","chat_alpaca/analytics.py:portfolio_gain_loss; chat_alpaca/reports.py","Implemented and tested","Confirmed all-time performance runs from inception through the latest complete confirmed valuation date, independent of Custom Start/End; any live overlay is separately labeled indicative with timestamp and provenance."
"PERF-003","Overview","Portfolio value and gain/loss","Custom gain/loss","calculated","Ledger reconstruction","Sums flow-adjusted daily gains over the inclusive applied range.","CustomGain = SUM(DailyGain_t for Start<=t<=End)","'=SUMIFS(DailyPerformance!Gain:Gain,DailyPerformance!Date:Date,"">=""&CustomStart,DailyPerformance!Date:Date,""<=""&CustomEnd)","Daily gain series; applied dates","USD","Applied inclusive range","$0 display","$0.01 raw; $0.50 display","Requires a confirmed close before Custom Start.","Correct.","Critical","Retain as the user-controlled historical period metric.","chat_alpaca/analytics.py:portfolio_gain_loss","Requires reconciliation",""
"PERF-004","Overview","Portfolio table","Combined metric","calculated","Per-portfolio results","Sums only when every selected portfolio has a value.","CombinedMetric = SUM(Metric_p) if COUNT(Metric_p)=selected count, else NA","'=IF(COUNT(MetricRange)=SelectedCount,SUM(MetricRange),NA())","Per-portfolio values; selected count","Metric-dependent","Same as component metric","Same as component","Same as component","Returns unavailable on partial coverage.","Strong.","Critical","Retain.","chat_alpaca/reports.py:_summed","Requires unit test",""
"PERF-005","Overview; Compare","Performance return","Daily total return","calculated","Ledger reconstruction","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable.","r_t = DailyGain_t/Value_(t-1)","'=IF(PriorValue=0,NA(),DailyGain/PriorValue)","Daily gain; prior value","Decimal return","Trading day","Raw","0.000001 absolute","Unavailable for zero or missing prior value.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Awards must be external flows.","chat_alpaca/reconstruction.py:_daily_for_portfolio","Implemented and tested","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable."
"PERF-006","Overview; Compare","Performance return","Time-weighted return","calculated","Ledger reconstruction","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable.","TWR = PRODUCT(1+r_t)-1","'=PRODUCT(1+FILTER(Returns!C:C,Returns!A:A>=StartDate,Returns!A:A<=EndDate))-1","Daily flow-adjusted returns","Decimal return","Selected period","Raw","0.000001 absolute","Missing daily values are not silently zero-filled except internal first-period neutral handling.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Awards must be external flows.","chat_alpaca/reconstruction.py:_daily_for_portfolio","Implemented and tested","Awards are external contributions; quantity awards require stored fair value or affected gain and return outputs are unavailable."
"RISK-001","Overview; Holdings","Alpha/Beta","Observations","calculated","Aligned portfolio or holding and SPY total-return data","Counts overlapping finite daily return pairs.","N = COUNT(aligned non-null asset and SPY returns)","'=COUNT(FILTER(AssetReturns,ISNUMBER(AssetReturns),ISNUMBER(SPYReturns)))","Asset returns; SPY returns; dates","Count","Applied range","Integer","Exact count","Alpha and Beta unavailable below 60.","Appropriate minimum gate.","High","Retain; consider a longer preferred window disclosure.","chat_alpaca/analytics.py:alpha_beta_from_returns","Requires reconciliation",""
"RISK-002","Overview; Holdings","Alpha/Beta","Beta","calculated","Aligned returns","Measures covariance with SPY divided by SPY variance.","Beta = COVARIANCE.S(R_asset,R_SPY)/VAR.S(R_SPY)","'=COVARIANCE.S(AlignedAssetReturns,AlignedSPYReturns)/VAR.S(AlignedSPYReturns)","At least 60 aligned returns","Ratio","Applied range","2 decimals display","0.000001 raw; 0.005 displayed","Unavailable below 60 or when SPY variance is nonpositive.","Standard market-model beta.","High","Retain.","chat_alpaca/analytics.py:alpha_beta_from_returns","Requires reconciliation",""
"RISK-003","Overview; Holdings","Alpha/Beta","Annualized market-model intercept, RF assumed 0%","calculated","Aligned returns","Displayed label is Annualized market-model intercept, RF assumed 0%.","DailyAlpha = AVERAGE(R_asset-Beta*R_SPY); Alpha=(1+DailyAlpha)^252-1","'=POWER(1+AVERAGE(AlignedAssetReturns-BetaCell*AlignedSPYReturns),252)-1","Aligned returns; Beta","Decimal return","Applied range","2 decimal percentage display","0.000001 raw; 0.005 percentage points displayed","Unavailable below 60 or invalid benchmark variance.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Label or documentation must state zero-risk-free-rate market-model intercept.","chat_alpaca/analytics.py:alpha_beta_from_returns","Implemented and tested","Displayed label is Annualized market-model intercept, RF assumed 0%."
"HOLD-001","Overview","Exact holdings","Shares","ledger-derived","FIFO lots","Adds remaining shares by symbol or displays the individual lot shares.","SummaryShares = SUM(CurrentLotShares for symbol)","'=SUMIFS(OpenLots!Shares,OpenLots!Symbol,Symbol)","Open lots","Shares","Current ledger state","Summary displayed 0 decimals; lot table 0 decimals","0.00000001 raw","No open lots means absent row.","Raw calculation is correct; zero-decimal display can hide fractional shares.","High","Display sufficient fractional precision when fractional holdings exist.","chat_alpaca/analytics.py:consolidated_holdings","Review suggested",""
"HOLD-002","Overview","Exact holdings","Average cost / share","calculated","FIFO lots","Weighted unit basis of current remaining lots.","AverageCost = SUM(LotShares*UnitBasis)/SUM(LotShares)","'=SUMPRODUCT(FILTER(OpenLots!Shares,OpenLots!Symbol=Symbol),FILTER(OpenLots!UnitBasis,OpenLots!Symbol=Symbol))/SUMIF(OpenLots!Symbol,Symbol,OpenLots!Shares)","Current lots","USD/share","Current ledger state","$0.00 display","$0.0001 or stored precision","Unavailable at zero net shares.","Correct for ordinary long positions.","High","Disclose behavior for mixed long and short lots.","chat_alpaca/analytics.py:consolidated_holdings","Requires reconciliation",""
"HOLD-003","Overview","Exact holdings","Cost basis","calculated","FIFO lots","Adds current remaining-lot basis.","Basis = SUM(LotShares*UnitBasis)","'=SUMPRODUCT(FILTER(OpenLots!Shares,OpenLots!Symbol=Symbol),FILTER(OpenLots!UnitBasis,OpenLots!Symbol=Symbol))","Current lots","USD","Current ledger state","$0 display","$0.01 raw; $0.50 display","No lots means absent row.","Correct remaining basis.","Critical","Retain.","chat_alpaca/analytics.py:consolidated_holdings","Requires reconciliation",""
"HOLD-004","Overview","Exact holdings","Current","market-data-passthrough","Resolved confirmed prices","Latest available split-adjusted close for the symbol.","CurrentPrice = latest confirmed close on or before available end","'=LOOKUP(2,1/((Prices!A:A=Symbol)*(Prices!B:B<=AsOfDate)),Prices!C:C)","Symbol; prices; date","USD/share","Latest available confirmed date","$0.00 display","Exact resolved observation; $0.005 display","Unavailable if no price.","Correct source resolution; may differ in date across table rows.","High","Disclose price date per symbol or enforce common-date table mode.","chat_alpaca/analytics.py:_price_on_or_before","Review suggested",""
"HOLD-005","Overview","Exact holdings","Value","calculated","Shares plus price","Current open shares times current price.","Value = Shares*CurrentPrice","'=SharesCell*CurrentPriceCell","Shares; current price","USD","Price date","$0 display","$0.01 raw; $0.50 display","Unavailable if price is missing.","Correct.","Critical","Retain.","chat_alpaca/analytics.py:consolidated_holdings","Requires reconciliation",""
"HOLD-006","Overview","Exact holdings","All time","calculated","Current open lots","Unrealized gain on current remaining lots, not ledger-wide performance.","UnrealizedGain = Value-RemainingCostBasis","'=ValueCell-CostBasisCell","Value; remaining basis","USD","Current ledger state and price date","$0 display","$0.01 raw; $0.50 display","Unavailable with missing price.","Correct formula but ambiguous label.","Critical","Rename to Unrealized gain/loss.","chat_alpaca/analytics.py:consolidated_holdings","Change suggested",""
"HOLD-007","Overview","Exact holdings","Day","calculated","Current shares and prices","Current shares times the change between the latest two available observations.","DayGain = Shares*(LatestPrice-PriorAvailablePrice)","'=SharesCell*(LatestPriceCell-PriorPriceCell)","Shares; last two prices","USD","Last two available observations","$0 display","$0.01 raw; $0.50 display","Unavailable with fewer than two prices.","Can span multiple sessions while labeled Day.","High","Require consecutive completed sessions or label the actual dates.","chat_alpaca/analytics.py:consolidated_holdings","Change suggested",""
"HOLD-008","Overview","Exact holdings","Custom","calculated","Current open lots and prices","Price movement on current remaining lots. Uses unit basis for a lot acquired within the range.","LotCustom = Shares*(EndPrice-(UnitBasis if acquired>=Start else PriorStartClose))","'=SharesCell*(EndPriceCell-IF(AcquiredDate>=CustomStart,UnitBasisCell,PriorStartPriceCell))","Current lots; acquisition; basis; prices; range","USD","Applied range","$0 display","$0.01 raw; $0.50 display","Unavailable for lots after end or missing prices.","Not ledger-aware and excludes sold lots and income.","Critical","Rename Current-lot unrealized custom change and distinguish it from portfolio Custom gain/loss.","chat_alpaca/analytics.py:consolidated_holdings","Disclosure/change required",""
"HOLD-009","Overview","Exact holdings","Portfolios","calculated","Current lots","Counts distinct selected portfolios holding the symbol.","PortfolioCount = COUNTUNIQUE(portfolio IDs with nonzero symbol shares)","'=COUNTUNIQUE(FILTER(OpenLots!PortfolioID,OpenLots!Symbol=Symbol,OpenLots!Shares<>0))","Open lots","Count","Current state","Integer","Exact count","Absent symbol has no row.","Correct.","Low","Retain.","chat_alpaca/analytics.py:consolidated_holdings","Requires reconciliation",""
"INCOME-001","Overview","Portfolio income","Selected-range income","ledger-derived","Canonical transaction ledger","Adds dividend and interest cash credits in the inclusive range.","Income = SUM(cash_delta where kind in {dividend,interest} and Start<=date<=End)","'=SUM(SUMIFS(Transactions!J:J,Transactions!D:D,{""Dividend"",""Interest""},Transactions!B:B,"">=""&CustomStart,Transactions!B:B,""<=""&CustomEnd))","Income transactions; dates","USD","Applied inclusive range","$0 display","$0.01 raw; $0.50 display","No matching events produces zero.","Correct realized cash income.","High","Retain.","chat_alpaca/portfolio_service.py:portfolio_income_summary","Requires reconciliation",""
"INCOME-002","Overview","Portfolio income","YTD through end date","ledger-derived","Canonical transaction ledger","Adds dividend and interest from January 1 through Custom End.","YTD = SUM(income where YEAR(date)=YEAR(End) and date<=End)","'=SUM(SUMIFS(Transactions!J:J,Transactions!D:D,{""Dividend"",""Interest""},Transactions!B:B,"">=""&DATE(YEAR(CustomEnd),1,1),Transactions!B:B,""<=""&CustomEnd))","Income transactions; end date","USD","Calendar YTD through Custom End","$0 display","$0.01 raw; $0.50 display","No events produces zero.","Correct.","High","Retain.","chat_alpaca/portfolio_service.py:portfolio_income_summary","Requires reconciliation",""
"INCOME-003","Overview","Portfolio income","Trailing 365 through end date","ledger-derived","Canonical transaction ledger","Adds income over 365 inclusive calendar days ending at Custom End.","Trailing365 = SUM(income from End-364 through End)","'=SUM(SUMIFS(Transactions!J:J,Transactions!D:D,{""Dividend"",""Interest""},Transactions!B:B,"">=""&CustomEnd-364,Transactions!B:B,""<=""&CustomEnd))","Income transactions; end date","USD","365 inclusive days","$0 display","$0.01 raw; $0.50 display","No events produces zero.","Correct.","High","Retain.","chat_alpaca/portfolio_service.py:portfolio_income_summary","Requires reconciliation",""
"INCOME-004","Overview","Portfolio income","Normalized quarterly average","calculated","Selected-range ledger income","Scales selected income to 91.3125 calendar days.","NormalizedQuarter = SelectedIncome/InclusiveDays*91.3125","'=SelectedIncome/(CustomEnd-CustomStart+1)*91.3125","Selected income; dates","USD","Selected range normalized","$0 display","$0.01 raw; $0.50 display","Start after end rejected.","Correct normalization but unstable for short windows.","Medium","Retain with not-a-forecast disclosure and consider minimum-day warning.","chat_alpaca/portfolio_service.py:portfolio_income_summary","Disclosure required",""
"INCOME-005","Overview","Portfolio income","Monthly and source Cash received","ledger-derived","Canonical transaction ledger","Groups dividend and interest cash by month, portfolio, type, and source.","GroupedIncome = SUM(cash_delta by grouping fields)","'=QUERY(Transactions!A:J,""select A,D,E,sum(J) where D='Dividend' or D='Interest' group by A,D,E"",1)","Income transactions","USD","Applied range","$0 display","$0.01 raw; $0.50 display","No events produces no table.","Correct.","Medium","Retain.","streamlit_app.py:render_portfolio_income","Requires reconciliation",""
"COMPARE-001","Compare","Performance comparison","Growth of $100","calculated","Portfolio TWR or benchmark total-return levels","Rebases every series to 100 at its first valid selected observation.","Growth_t = 100*Level_t/Level_0","'=100*CurrentLevel/INDEX(FILTER(LevelRange,ISNUMBER(LevelRange)),1)","Selected series","Index","Applied range","Chart precision","0.000001 index units","Empty series omitted.","Standard.","High","Retain.","chat_alpaca/analytics.py:normalized_growth","Requires reconciliation",""
"COMPARE-002","Compare","Performance comparison","Total return","calculated","Growth series","Insufficient comparison history returns unavailable rather than numeric zero.","TotalReturn = FinalLevel/InitialLevel-1","'=INDEX(LevelRange,COUNT(LevelRange))/INDEX(FILTER(LevelRange,ISNUMBER(LevelRange)),1)-1","Growth series","Decimal return","Applied range","0% display","0.000001 raw; 0.5 percentage point at 0-decimal display","Unavailable when the required valid observations are absent.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Return blank/unavailable when fewer than two valid observations.","chat_alpaca/analytics.py:summary_metrics","Implemented and tested","Insufficient comparison history returns unavailable rather than numeric zero."
"COMPARE-003","Compare","Performance comparison","Annualized return","calculated","Growth series","Insufficient comparison history returns unavailable rather than numeric zero.","CAGR=(Final/Initial)^(365.25/ElapsedDays)-1","'=POWER(FinalLevel/InitialLevel,365.25/(EndDate-StartDate))-1","Levels; dates","Decimal return","Applied range","0% display","0.000001 raw; 0.5 percentage point displayed","Unavailable when the required valid observations are absent.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Unavailable when insufficient; warn for short annualization periods.","chat_alpaca/analytics.py:summary_metrics","Implemented and tested","Insufficient comparison history returns unavailable rather than numeric zero."
"COMPARE-004","Compare","Performance comparison","Volatility","calculated","Daily series returns","Insufficient comparison history returns unavailable rather than numeric zero.","Volatility = STDEV.S(daily returns)*SQRT(252)","'=STDEV.S(ReturnRange)*SQRT(252)","Daily returns","Decimal annual volatility","Applied range","0% display","0.000001 raw; 0.5 percentage point displayed","Unavailable when the required valid observations are absent.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Unavailable below two returns; disclose or normalize gaps.","chat_alpaca/analytics.py:summary_metrics","Implemented and tested","Insufficient comparison history returns unavailable rather than numeric zero."
"COMPARE-005","Compare","Performance comparison","Max drawdown","calculated","Growth series","Insufficient comparison history returns unavailable rather than numeric zero.","Drawdown_t=Level_t/MAX(Level_0:Level_t)-1; MaxDD=MIN(Drawdown_t)","'=MIN(MAP(SEQUENCE(ROWS(LevelRange)),LAMBDA(i,INDEX(LevelRange,i)/MAX(TAKE(LevelRange,i))-1)))","Growth series","Decimal return","Applied range","0% display","0.000001 raw; 0.5 percentage point displayed","Unavailable when the required valid observations are absent.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Unavailable when insufficient.","chat_alpaca/analytics.py:summary_metrics","Implemented and tested","Insufficient comparison history returns unavailable rather than numeric zero."
"FORECAST-001","Forecast","Planning projection","Starting value","calculated","Confirmed valuation or disclosed fallback","Uses complete selected market value; uses cost basis plus cash only when the price frame is empty.","Start = SUM(complete portfolio values), else disclosed basis-plus-cash fallback","'=IF(CompletePriceCoverage,ConfirmedTotal,CostBasisPlusCash)","Selected portfolios; prices; lots; cash","USD","Run date","$0 display","$0.01 raw; $0.50 display","Partial valuation refuses projection.","Strong coverage policy.","Critical","Retain.","chat_alpaca/forecasting.py:build_forecast_request","Requires reconciliation",""
"FORECAST-002","Forecast","Planning projection","Monthly gross return","stochastic-calculated","Owner assumptions plus seeded RNG","Lognormal gross return calibrated to expected annual gross return and volatility.","Drift=[LN(1+R)-0.5*sigma^2]/12; Diffusion=sigma/SQRT(12); Gross=EXP(Drift+Diffusion*Z)","'=EXP((LN(1+AnnualReturn)-0.5*AnnualVolatility^2)/12+AnnualVolatility/SQRT(12)*NORM.S.INV(RandomUniform))","Annual return; volatility; standard normal draw","Gross return factor","Each simulated month","Full precision","Exact with identical stored random draws; otherwise distribution tolerance","Invalid assumptions rejected.","Correct lognormal calibration; constant independent normal shocks are limiting.","High","Retain as assumption-driven planning model.","chat_alpaca/forecasting.py:simulate_portfolio_projection","Requires seeded reproduction",""
"FORECAST-003","Forecast","Planning projection","Monthly portfolio value","stochastic-calculated","Projection engine","Applies the simulated gross return then adds contribution at month-end.","Value_m=Value_(m-1)*Gross_m+Contribution","'=PriorValue*GrossReturn+MonthlyContribution","Prior value; gross return; contribution","USD","Monthly","$0 chart/table","Exact with identical simulation inputs","Invalid values rejected.","Correct month-end timing.","High","Clarify that contribution is nominal, not inflation-adjusted.","chat_alpaca/forecasting.py:simulate_portfolio_projection","Disclosure required",""
"FORECAST-004","Forecast","Planning projection","P5; P25; P50; P75; P95","stochastic-summary","10,000 seeded simulation paths","Empirical cross-simulation percentile at each month.","Pq_m=PERCENTILE(simulated values at month m,q)","'=PERCENTILE(Simulations!B:B,0.05)","Simulation values","USD","Each projected month/year","$0 display","Exact with identical path matrix; otherwise within documented Monte Carlo error","Unavailable if simulation fails.","Standard.","High","Retain model version, seed, simulation count, and inputs with results.","chat_alpaca/forecasting.py:simulate_portfolio_projection","Requires seeded reproduction","Percentile bands are not individual paths."
